friends,funny,Selfie,couple,question,Winter,summer,spring,food,travel
I never let my friends do stupid thingsalone!,"In this section, we include funny Instagram captions and short jokes anyone can remember. You can also try to find funny puns too.",,,Where do you travel next?,To appreciate the beauty of a snowflake it is necessary to stand out in the cold. “ Aristotle,"This summer fashion? My bikini!,",April showers bring May flowers., I like people that protect their food like it would be their baby.,"Catch flights, not feelings."
"If you love a friend, let them go. If they come back with coffee, it was meant to be.",My excuse is that I'm young.,"I'm not perfect, I'm original.",What made you fall for him? He never asked me to justify my past.,Have you ever been to Bali?,"Give me a hot drink, and Im happy. Hot cider, hot chocolate, coffee I like all winter beverages!","Less Monday, More Summer.,","O, wind, if winter comes, can spring be far behind?", #foodporn,"Travel is fatal to prejudice, bigotry, and narrow mindedness, and many of our people need it sorely on these accounts. “ Mark Twain"
I like to hang out with people who make me forget to look at my phone.,Hear about the new restaurant called Karma? There's no menu: You get what you deserve.,A selfie a day keeps the doctor away.,"I want a relationship like Tom &amp; Jerry to fight daily, still can't live without each other.","If everyone else jumped off a cliff, would you do it too?",I love this winter feeling. This way I can stay home and just snuggle up in the bed without feeling guilty.,"Like a welcome summer rain, humor may suddenly cleanse and cool the earth, the air and you.,",All the flowers of all the tomorrows are in the seeds of today.," Made with love, means I licked the spoon and kept using it.","People dont take trips, trips take people."
"Friendship is like peeing on yourself: everyone can see it, but only you get a warm feeling that it brings.","I don't know what's tighter, our jeans or our friendship.",The only person you should try to be better than is the one you were yesterday.,You can't rush something you want to last forever.,What makes you happy?,"In the depth of winter, I finally learned that there was in me an invincible summer.","My summer dress is waiting for me.,","Spring is natures way of saying, ˜Lets party!<br/> “ Robin Williams"," If we shouldnt eat at night, why is there a light in the fridge?",Travel is Addictive!
I cannot see heaven being much better than this.,Give me the chocolate and nobody gets hurt.,"Me, myself and I.",Sometimes I can't see myself when I'm with you. I can only just see you.,So you mean to tell me a stress ball isnt for throwing at people who stress you out?,People dont notice whether its winter or summer when theyre happy.,"Cause a little bit of summer is what the whole year is all about. “ John Mayer,",Im sorry for the things I said when it was winter., I am sorry for what I said when I was hungry.,"Where ever you go, go with all your heart. • Confucius"
"I know what tighter, our jeans or our friendship.","Cats have 32 muscles in each ear, to help them ignore you. (A funny Instagram captions for cats!!)","You only live once, but if you do it right, once is enough.",You wanna know who I'm in love with? Read the first word again.,"Have you ever wanted to grab somebody by the shoulders, give them a good shake and whisper Nobody cares!",No winter lasts forever; no spring skips its turn.,"I like summer. I like warmer weather and long days. Im one of those silly people who still enjoy lying in the sun”my children are horrified!,",This season puts a little spring in my step.," If someone accuses you of drowning your chicken in gravy, tell them its not your responsibility to teach a chicken how to swim.",Mood: wanna move to a new city and start a new life.
You have to be crazy to hang out with me I'll train you.,Where are the average things manufactured? The satisfactory.,I woke up like this!,My wife dresses to kill. She cooks the same way.,"If you could be anywhere, where would you choose to be?",Laughter is the sun that drives winter from the human face.,"Oh, the summer night, has a smile of light, and she sits on a sapphire throne.,","Less Mondays, more Sunshine."," If you want to feel vibrant, stop feeding your body crab.","Sometimes these unplanned trips, unplanned evenings or unplanned locations turn out to be one of your favorites."
"I like to think I'm a pretty good friend. I love having a good time, and I enjoy being able to share those good times with others. “ Jacob Batalon",I invented a new word: Plagiarism.,How on earth do you make a good selfie?! Why do I always turn out like a goblin?,Save water and shower together,Can you imagine a different world?,Nothing burns like the cold.,"Shall I compare thee to a summers day? ”William Shakespeare,",The best time for new beginnings is now.," Make time for the things that are important. This morning I made time for breakfast, this afternoon I made time for lunch, and this evening Ive made time for dinner.","We travel not to escape life, but for life not to escape us"
"Friends are like rainbows, always there to cheer you up after a storm.",Whoever invented knock-knock jokes should get a No Bell prize.,"I don't always take a selfie, but when I do",One day you will kiss a man you can't breathe without and find that breath is of little consequence.,Why isnt the number 11 pronounced onety one?,There are only two seasons “ winter and Baseball.,"Sweet, sweet burn of sun and summer wind, and you my friend, my new fun thing, my summer fling. “ K.D. Lang,","Spring lets me spring okay, that maybe only funny for German speakers", Everybody loves chocolate.,"Life is short and the planet is wide, just think about all of the outstanding activities out there"
Side by side or miles apart real friends are always close to the heart.,"Made with love, means I licked the spoon and kept using it.",Just me.,Love assures us that we will never be alone.,li>Imagine it is war and nobody goes?,I prefer winter and fall when you feel the bone structure of the landscape. Something waits beneath it; the whole story doesnt show.,"To plant a garden is to believe in tomorrow. “ Audrey Hepburn,",Sunshine is the best medicine., Food. Friends. Sunshine.,Explore the unexplored.
It takes a long time to grow an old friend. “ John Leonard,"I keep pressing the space bar, but I'm still on Earth.",The ugly selfie you deleted is the real you. Accept it!,I miss you like the deserts miss the rain!,"li>If Cinderellas shoe fit perfectly, then why did it fall off?","What good is the warmth of summer, without the cold of winter to give it sweetness.","Summertime is always the best of what might be. “ Charles Bowden,",Spring: a lovely reminder of how beautiful change can truly be., The first wealth is health.,Tripophobia: The fear of not having your next travels booked.
"Your crowd should be clapping loudest when you win. If they don't, look for a new crowd.","If I won the award for laziness, I would send somebody to pick it up for me.",.lemme take a selfie,I used to think I knew exactly what I wanted in the perfect soulmate. I was wrong because you are even better than I ever imagined.,"If we shouldnt eat at night, why is there a light in the fridge?","In winter, the stars seem to have rekindled their fires, the moon achieves a fuller triumph, and the heavens wear a look of a more exalted simplicity. Summer is more wooing and seductive, more versatile and human, appeals to the affections and the sentiments and fosters inquiry and the art impulse.<br/> “ John Burroughs","It is easy to forget now, how effervescent and free we all felt that summer. “ Anna Godbersen, Bright Young Things,","Let your joy burst forth, like flowers in the spring."," First, we eat, then we can do everything else.","If you had to choose between true love and traveling the world, which country would you visit first?"
